open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,1_day_return,7_day_volatility,30_day_volatility,rsi,macd,sma20,sma50,sma200,bb_high,bb_low,stochastic_oscillator
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,2023-09-13 23:59:59.999,825437881.4687591,714880,15287.00038,399099781.6207648,0.0179367584176211,0.013957961782768093,0.048531911703388234,47.50316138860453,-448.6821146500952,26070.672,27516.6508,27645.685849999998,27132.65871145341,25008.68528854659,49.171601817972046
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,2023-09-14 23:59:59.999,1015267319.7730228,799278,19440.45467,514863794.3783894,0.01019729575318995,0.013719046125846948,0.04902703744192489,50.937341582007406,-369.8832853367094,26093.807999999997,27460.066199999997,27660.525250000002,27173.865048837524,25013.75095116247,82.76286176505101
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,2023-09-15 23:59:59.999,695203258.0004445,654094,12600.39115,334045930.7667212,0.026610833445900317,0.016923183304824743,0.05002367516864216,51.80964760630282,-297.76712806455544,26122.9395,27407.6106,27676.0648,27224.3958841472,25021.4831158528,85.50578761952693
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,2023-09-16 23:59:59.999,370889866.4592735,526416,6508.91352,172926781.3888423,0.025406142706958956,0.018669554217416104,0.049059318572574416,51.29700838944672,-241.08971563691375,26145.8345,27352.521200000003,27693.155300000002,27263.495682317178,25028.173317682824,83.4760946149974
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,2023-09-17 23:59:59.999,344703727.5601071,476775,6359.89459,168675580.016463,0.02654246387899195,0.019001822765177832,0.04657318928010104,50.86480213316534,-196.5023444683975,26166.21,27296.013400000003,27707.647999999997,27296.03637057188,25036.383629428117,81.85757423251124
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,2023-09-18 23:59:59.999,1158780347.6253047,938705,21551.71605,580912488.7594309,0.06358623858023749,0.019567362236168184,0.045180566104779475,53.920057034539724,-140.5834372056779,26118.5185,27245.6418,27724.13395,27044.771081950854,25192.265918049143,74.22288676236037
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,2023-09-19 23:59:59.999,981539255.55962,898076,17851.15558,484061308.12493294,0.053024562598442015,0.01921411375128162,0.04294714105193098,59.13403205118468,-59.452288356478675,26114.032,27205.202,27748.41355,27017.950276363314,25210.113723636685,89.41713099741725
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,2023-09-20 23:59:59.999,927206075.9626272,867288,16983.43086,460402346.17078334,0.03443673251468238,0.018200929075160334,0.038564155881702165,57.79303768780366,-2.0118465132945857,26173.243,27153.582199999997,27772.305699999997,27173.96898075778,25172.517019242216,86.11576840124373
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,2023-09-21 23:59:59.999,920768143.3513128,823416,16878.78202,450738363.8506985,0.0017098541515145893,0.020239450239138444,0.03290138139500879,49.84210612814465,-1.412390977882751,26211.394500000002,27101.223599999998,27792.994899999998,27211.242675984053,25211.54632401595,64.55120287155825
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,2023-09-22 23:59:59.999,484331618.9485319,567149,8484.09679,225805692.72356927,-0.0007466165413534398,0.02398396211071188,0.0290023018259053,50.002515531615856,0.03541482310902211,26246.926,27048.953600000004,27813.8456,27246.157740656607,25247.694259343392,65.0181795653167
